Task, N, Procs, Threads, T_Serial, T_Parallel, T_Total
Task2, 2250000, 4, 4, 0.014226, 0.036769, 0.051245
Task2, 2250000, 4, 8, 0.015324, 0.019105, 0.034616
Task2, 2250000, 8, 1, 0.012431, 0.054150, 0.074839
Task2, 2250000, 8, 2, 0.012423, 0.035369, 0.055008
Task2, 2250000, 8, 4, 0.011057, 0.017508, 0.037790
Task2, 2500000, 1, 1, 0.001646, 0.245812, 0.247497
Task2, 2500000, 1, 2, 0.002102, 0.124584, 0.126740
Task2, 2500000, 1, 4, 0.002137, 0.075465, 0.077654
Task2, 2500000, 1, 8, 0.001494, 0.045913, 0.047456
Task2, 2500000, 2, 1, 0.008211, 0.244381, 0.252657
Task2, 2500000, 2, 2, 0.010641, 0.122838, 0.133530
Task2, 2500000, 2, 4, 0.007393, 0.071275, 0.078720
Task2, 2500000, 2, 8, 0.006018, 0.035911, 0.041984
Task2, 2500000, 4, 1, 0.015409, 0.124449, 0.140086
Task2, 2500000, 4, 2, 0.021733, 0.066125, 0.087914
Task2, 2500000, 4, 4, 0.015682, 0.035466, 0.051361
Task2, 2500000, 4, 8, 0.013686, 0.019949, 0.033689
Task2, 2500000, 8, 1, 0.011629, 0.062474, 0.083209
Task2, 2500000, 8, 2, 0.013003, 0.032767, 0.054598
Task2, 2500000, 8, 4, 0.014444, 0.019475, 0.042990
Task2, 2750000, 1, 1, 0.001944, 0.280515, 0.282515
Task2, 2750000, 1, 2, 0.001663, 0.141531, 0.143239
Task2, 2750000, 1, 4, 0.001723, 0.089045, 0.090820
Task2, 2750000, 1, 8, 0.001846, 0.048174, 0.050059
Task2, 2750000, 2, 1, 0.006872, 0.280676, 0.287607
Task2, 2750000, 2, 2, 0.010541, 0.141804, 0.152390
Task2, 2750000, 2, 4, 0.006321, 0.083271, 0.089666
Task2, 2750000, 2, 8, 0.007764, 0.047475, 0.055285
Task2, 2750000, 4, 1, 0.015103, 0.141058, 0.156335
Task2, 2750000, 4, 2, 0.016520, 0.072961, 0.089647
Task2, 2750000, 4, 4, 0.015037, 0.039475, 0.054580
Task2, 2750000, 4, 8, 0.012278, 0.025672, 0.038108
Task2, 2750000, 8, 1, 0.012517, 0.071902, 0.089059
Task2, 2750000, 8, 2, 0.015824, 0.037436, 0.063579
Task2, 2750000, 8, 4, 0.016060, 0.021905, 0.045990
Task2, 3000000, 1, 1, 0.001670, 0.317348, 0.319049
Task2, 3000000, 1, 2, 0.001607, 0.161771, 0.163432
Task2, 3000000, 1, 4, 0.001966, 0.084863, 0.086878
Task2, 3000000, 1, 8, 0.002129, 0.054409, 0.056586
Task2, 3000000, 2, 1, 0.008049, 0.317309, 0.325409
Task2, 3000000, 2, 2, 0.007791, 0.161749, 0.169579
Task2, 3000000, 2, 4, 0.005589, 0.086275, 0.091915
Task2, 3000000, 2, 8, 0.005942, 0.047319, 0.053309
Task2, 3000000, 4, 1, 0.018669, 0.159801, 0.178626
Task2, 3000000, 4, 2, 0.015500, 0.081710, 0.097415
Task2, 3000000, 4, 4, 0.011617, 0.042225, 0.053963
Task2, 3000000, 4, 8, 0.012815, 0.033003, 0.045862
Task2, 3000000, 8, 1, 0.014986, 0.081093, 0.106686
Task2, 3000000, 8, 2, 0.012770, 0.045645, 0.065693
Task2, 3000000, 8, 4, 0.015265, 0.024307, 0.047659
Task2, 3250000, 1, 1, 0.002024, 0.354621, 0.356678
Task2, 3250000, 1, 2, 0.002027, 0.180013, 0.182136
Task2, 3250000, 1, 4, 0.002103, 0.092312, 0.094448
Task2, 3250000, 1, 8, 0.001805, 0.057806, 0.059648
Task2, 3250000, 2, 1, 0.008658, 0.354298, 0.362997
Task2, 3250000, 2, 2, 0.008383, 0.178834, 0.187268
Task2, 3250000, 2, 4, 0.010494, 0.101651, 0.112202
Task2, 3250000, 2, 8, 0.008737, 0.052258, 0.061046
Task2, 3250000, 4, 1, 0.016978, 0.178670, 0.195898
Task2, 3250000, 4, 2, 0.018250, 0.093190, 0.111500
Task2, 3250000, 4, 4, 0.017973, 0.050420, 0.068641
Task2, 3250000, 4, 8, 0.018979, 0.029254, 0.048419
Task2, 3250000, 8, 1, 0.013894, 0.091037, 0.109406
Task2, 3250000, 8, 2, 0.015149, 0.047474, 0.071126
Task2, 3250000, 8, 4, 0.014479, 0.034212, 0.057608
Task2, 3500000, 1, 1, 0.001480, 0.394691, 0.396241
Task2, 3500000, 1, 2, 0.001569, 0.198283, 0.199887
Task2, 3500000, 1, 4, 0.001710, 0.099785, 0.101541
Task2, 3500000, 1, 8, 0.001371, 0.058648, 0.060054
Task2, 3500000, 2, 1, 0.010412, 0.394181, 0.404706
Task2, 3500000, 2, 2, 0.009158, 0.198168, 0.207377
Task2, 3500000, 2, 4, 0.010042, 0.100361, 0.110454
Task2, 3500000, 2, 8, 0.007517, 0.053461, 0.061020
Task2, 3500000, 4, 1, 0.016236, 0.198962, 0.215531
Task2, 3500000, 4, 2, 0.018226, 0.102856, 0.121278
Task2, 3500000, 4, 4, 0.017131, 0.064441, 0.081633
Task2, 3500000, 4, 8, 0.015334, 0.038745, 0.054279
Task2, 3500000, 8, 1, 0.014453, 0.099878, 0.123385
Task2, 3500000, 8, 2, 0.014781, 0.053342, 0.077095
Task2, 3500000, 8, 4, 0.011843, 0.030279, 0.050848
Task2, 3750000, 1, 1, 0.001372, 0.433501, 0.434905
Task2, 3750000, 1, 2, 0.001260, 0.217991, 0.219279
Task2, 3750000, 1, 4, 0.002078, 0.116566, 0.118680
Task2, 3750000, 1, 8, 0.002198, 0.067977, 0.070211
Task2, 3750000, 2, 1, 0.008637, 0.432349, 0.441041
Task2, 3750000, 2, 2, 0.009740, 0.217678, 0.227463
Task2, 3750000, 2, 4, 0.008528, 0.109129, 0.117714
Task2, 3750000, 2, 8, 0.008013, 0.057655, 0.065715
Task2, 3750000, 4, 1, 0.022244, 0.217916, 0.240335
Task2, 3750000, 4, 2, 0.015333, 0.111632, 0.127260
Task2, 3750000, 4, 4, 0.023010, 0.059782, 0.082951
Task2, 3750000, 4, 8, 0.023110, 0.037895, 0.061254
Task2, 3750000, 8, 1, 0.015071, 0.110756, 0.134131
Task2, 3750000, 8, 2, 0.013790, 0.057584, 0.083930
Task2, 3750000, 8, 4, 0.018507, 0.040139, 0.067632
Task2, 4000000, 1, 1, 0.001219, 0.474338, 0.475601
Task2, 4000000, 1, 2, 0.001821, 0.239958, 0.241875
Task2, 4000000, 1, 4, 0.002099, 0.129832, 0.131999
Task2, 4000000, 1, 8, 0.002171, 0.072180, 0.074413
Task2, 4000000, 2, 1, 0.011136, 0.475039, 0.486298
Task2, 4000000, 2, 2, 0.010621, 0.239512, 0.250267
Task2, 4000000, 2, 4, 0.010347, 0.132206, 0.142717
Task2, 4000000, 2, 8, 0.011059, 0.065022, 0.076223
Task2, 4000000, 4, 1, 0.025134, 0.244489, 0.270123
Task2, 4000000, 4, 2, 0.031126, 0.122811, 0.154171
Task2, 4000000, 4, 4, 0.020791, 0.063805, 0.084889
Task2, 4000000, 4, 8, 0.017725, 0.035823, 0.053627
Task2, 4000000, 8, 1, 0.014065, 0.121360, 0.145454
Task2, 4000000, 8, 2, 0.015876, 0.063437, 0.088237
Task2, 4000000, 8, 4, 0.015954, 0.035778, 0.062024
Task2, 4250000, 1, 1, 0.002029, 0.519787, 0.521901
Task2, 4250000, 1, 2, 0.002192, 0.261933, 0.264232
Task2, 4250000, 1, 4, 0.002478, 0.139104, 0.141682
Task2, 4250000, 1, 8, 0.002791, 0.077924, 0.080786
Task2, 4250000, 2, 1, 0.011700, 0.515237, 0.526999
Task2, 4250000, 2, 2, 0.012727, 0.260095, 0.272871
Task2, 4250000, 2, 4, 0.009219, 0.130125, 0.139391
Task2, 4250000, 2, 8, 0.009242, 0.073174, 0.082461
Task2, 4250000, 4, 1, 0.020240, 0.259314, 0.279699
Task2, 4250000, 4, 2, 0.020174, 0.130834, 0.151220
Task2, 4250000, 4, 4, 0.020409, 0.068587, 0.089163
Task2, 4250000, 4, 8, 0.023407, 0.042914, 0.066411
Task2, 4250000, 8, 1, 0.017681, 0.130681, 0.157489
Task2, 4250000, 8, 2, 0.016719, 0.068759, 0.096352
Task2, 4250000, 8, 4, 0.014489, 0.037329, 0.060753
Task2, 4500000, 1, 1, 0.002272, 0.561171, 0.563515
Task2, 4500000, 1, 2, 0.002472, 0.283922, 0.286467
Task2, 4500000, 1, 4, 0.002788, 0.142467, 0.145306
Task2, 4500000, 1, 8, 0.002515, 0.093300, 0.095865
Task2, 4500000, 2, 1, 0.014599, 0.559023, 0.573723
Task2, 4500000, 2, 2, 0.011861, 0.281316, 0.293271
Task2, 4500000, 2, 4, 0.013212, 0.141962, 0.155244
Task2, 4500000, 2, 8, 0.016473, 0.073742, 0.090285
Task2, 4500000, 4, 1, 0.024834, 0.282287, 0.307524
Task2, 4500000, 4, 2, 0.024829, 0.143393, 0.168470
Task2, 4500000, 4, 4, 0.021137, 0.097165, 0.118980
Task2, 4500000, 4, 8, 0.018382, 0.042623, 0.061063
Task2, 4500000, 8, 1, 0.017524, 0.143794, 0.169432
Task2, 4500000, 8, 2, 0.021030, 0.073374, 0.103435
Task2, 4500000, 8, 4, 0.016027, 0.040376, 0.065098
Task2, 4750000, 1, 1, 0.002123, 0.605112, 0.607325
Task2, 4750000, 1, 2, 0.002791, 0.305333, 0.308225
Task2, 4750000, 1, 4, 0.002915, 0.160447, 0.163436
Task2, 4750000, 1, 8, 0.003148, 0.087664, 0.090878
Task2, 4750000, 2, 1, 0.012629, 0.603694, 0.616390
Task2, 4750000, 2, 2, 0.013810, 0.304229, 0.318192
Task2, 4750000, 2, 4, 0.008878, 0.152689, 0.161646
Task2, 4750000, 2, 8, 0.010944, 0.081340, 0.092360
Task2, 4750000, 4, 1, 0.023944, 0.304196, 0.328493
Task2, 4750000, 4, 2, 0.026469, 0.154443, 0.181182
Task2, 4750000, 4, 4, 0.027047, 0.082643, 0.109756
Task2, 4750000, 4, 8, 0.019527, 0.043839, 0.063500
Task2, 4750000, 8, 1, 0.020324, 0.153306, 0.182368
Task2, 4750000, 8, 2, 0.020102, 0.078433, 0.106892
Task2, 4750000, 8, 4, 0.016445, 0.046835, 0.066130
Task2, 5000000, 1, 1, 0.002338, 0.650132, 0.652528
Task2, 5000000, 1, 2, 0.002253, 0.327732, 0.330081
Task2, 5000000, 1, 4, 0.001814, 0.165615, 0.167503
Task2, 5000000, 1, 8, 0.003144, 0.087345, 0.090584
Task2, 5000000, 2, 1, 0.012844, 0.649029, 0.662014
Task2, 5000000, 2, 2, 0.011242, 0.327049, 0.338424
Task2, 5000000, 2, 4, 0.012814, 0.166842, 0.179818
Task2, 5000000, 2, 8, 0.008814, 0.087861, 0.096784
Task2, 5000000, 4, 1, 0.023863, 0.326283, 0.350549
Task2, 5000000, 4, 2, 0.027896, 0.172310, 0.200328
Task2, 5000000, 4, 4, 0.017705, 0.085934, 0.107564
Task2, 5000000, 4, 8, 0.027807, 0.048873, 0.076880
Task2, 5000000, 8, 1, 0.021193, 0.170491, 0.197219
Task2, 5000000, 8, 2, 0.015384, 0.085786, 0.111455
Task2, 5000000, 8, 4, 0.018305, 0.044603, 0.071763
Task2, 5250000, 1, 1, 0.003227, 0.696913, 0.700202
Task2, 5250000, 1, 2, 0.002963, 0.370229, 0.373294
Task2, 5250000, 1, 4, 0.002701, 0.187460, 0.190261
Task2, 5250000, 1, 8, 0.002871, 0.108239, 0.111198
Task2, 5250000, 2, 1, 0.013217, 0.694684, 0.707998
Task2, 5250000, 2, 2, 0.013970, 0.350470, 0.364521
Task2, 5250000, 2, 4, 0.010498, 0.187433, 0.198068
Task2, 5250000, 2, 8, 0.011234, 0.091178, 0.102525
Task2, 5250000, 4, 1, 0.022952, 0.353240, 0.376683
Task2, 5250000, 4, 2, 0.030895, 0.179510, 0.210717
Task2, 5250000, 4, 4, 0.022295, 0.133810, 0.156306
Task2, 5250000, 4, 8, 0.024386, 0.051488, 0.076067
Task2, 5250000, 8, 1, 0.018037, 0.178583, 0.205632
Task2, 5250000, 8, 2, 0.018653, 0.092988, 0.118603
Task2, 5250000, 8, 4, 0.023291, 0.050621, 0.084784
Task2, 5500000, 1, 1, 0.002392, 0.744082, 0.746550
Task2, 5500000, 1, 2, 0.002810, 0.373772, 0.376628
Task2, 5500000, 1, 4, 0.002368, 0.195865, 0.198300
Task2, 5500000, 1, 8, 0.002054, 0.107124, 0.109220
Task2, 5500000, 2, 1, 0.015952, 0.754074, 0.770143
Task2, 5500000, 2, 2, 0.011934, 0.384788, 0.396807
Task2, 5500000, 2, 4, 0.015967, 0.188458, 0.204590
Task2, 5500000, 2, 8, 0.014673, 0.105837, 0.120645
Task2, 5500000, 4, 1, 0.025820, 0.372224, 0.398378
Task2, 5500000, 4, 2, 0.029279, 0.195397, 0.224829
